"","player.x","n","player_id","team","team_id","position","SBgoals","SBapp","pos","player.y","club","total","rn","dist"
"88","LUKE GARBUTT",58,53091,"SALFORD",4880,"D",3,45,"D","LUKE GARBUTT","Salford",3,94,0
"89","LUKE MCNALLY",53,126242,"BRISTOL CITY",376,"D",3,30,"D","LUKE MCNALLY","Bristol City",3,95,0
"90","LUKE OFFORD",53,109180,"MILTON KEYNES DONS",2812,"D",3,43,"D","LUKE OFFORD","Milton Keynes",3,96,0
"91","LUKE O'NIEN",77,71186,"SUNDERLAND",2493,"M",3,49,"D","LUKE O'NIEN","Sunderland",3,97,0
"92","MACAULEY SOUTHAM-HALES",45,79114,"BRISTOL ROVERS",388,"D",2,20,"D","MACAULEY SOUTHAM-HALES","Stockport",3,98,0
"93","MALVIND BENNING",49,63456,"SHREWSBURY",2325,"D",3,47,"D","MAL BENNING","Shrewsbury",3,99,0.17979797979798
"94","MARC GUEHI",53,109235,"CRYSTAL PALACE",646,"D",3,44,"D","MARC GUÉHI","Crystal Palace",3,100,0.0666666666666668
"95","MATT CLARKE",55,74339,"DERBY",747,"D",3,33,"D","MATT CLARKE","Derby",3,101,0
"96","MATT BAKER",51,166801,"NEWPORT COUNTY",1824,"D",4,43,"D","MATT CLARKE","Derby",3,101,0.149494949494949
"97","MATTIE POLLOCK",51,116584,"WATFORD",2741,"D",3,47,"D","MATTIE POLLOCK","Watford",3,102,0
"98","MAX CLARK",47,90682,"GILLINGHAM",1098,"D",3,41,"D","MAX CLARK","Gillingham",3,103,0
"99","OLIVER CASEY",49,127044,"BLACKPOOL",317,"D",3,48,"D","OLIVER CASEY","Blackpool",3,105,0
"100","OMAR BECKLES",47,52528,"LEYTON ORIENT",1537,"D",3,41,"D","OMAR BECKLES","Leyton Orient",3,106,0
"101","RICCARDO CALAFIORI",57,126171,"ARSENAL",142,"D",3,29,"D","RICCARDO CALAFIORI","Arsenal",3,107,0
"102","RYAN ANDREWS",61,172175,"WATFORD",2741,"D",3,41,"D","RYAN ANDREWS","Watford",3,108,0
"103","RYAN PORTEOUS",49,92356,"WATFORD",2741,"D",3,36,"D","RYAN PORTEOUS","Preston",3,110,0
"104","SEAN CLARE",49,90355,"LEYTON ORIENT",1537,"D",3,34,"D","SEAN CLARE","Leyton Orient",3,111,0
"105","SHANE MCLOUGHLIN",75,89817,"NEWPORT COUNTY",1824,"M",3,37,"D","SHANE MCLOUGHLIN","Newport",3,112,0
"106","SONNY ALJOFREE",41,165960,"NOTTS COUNTY",1871,"D",3,27,"D","SONNY ALJOFREE","Accrington",3,113,0
"107","STEPHEN MCLAUGHLIN",48,58545,"MANSFIELD",1723,"D",3,45,"D","STEPHEN MCLAUGHLIN","Mansfield",3,114,0
"108","TARIQ LAMPTEY",49,114322,"BRIGHTON",381,"D",3,20,"D","TARIQ LAMPTEY","Brighton",3,115,0
"109","TAYLOR HARWOOD-BELLIS",47,116341,"SOUTHAMPTON",2471,"D",3,38,"D","TAYLOR HARWOOD-BELLIS","Southampton",3,116,0
"110","TRAI HUME",53,122137,"SUNDERLAND",2493,"D",3,48,"D","TRAI HUME","Sunderland",3,117,0
"111","TREVOH CHALOBAH",63,96784,"CHELSEA",536,"D",3,33,"D","TREVOH CHALOBAH","Crystal Palace",3,118,0
"112","TYLER BINDON",41,181965,"SHEFFIELD UNITED",2328,"D",3,47,"D","TYLER BINDON","Reading",3,119,0
"113","YAN VALERY",51,93994,"SHEFFIELD WEDNESDAY",2330,"D",3,40,"D","YAN VALERY","Sheffield Wednesday",3,120,0
"114","AARON WAN-BISSAKA",55,99993,"WEST HAM",2802,"D",2,38,"D","AARON WAN-BISSAKA","West Ham",2,121,0
"115","ADAM JACKSON",49,74234,"LINCOLN",1559,"D",2,29,"D","ADAM JACKSON","Lincoln",2,122,0
"116","ALEX MITCHELL",49,138997,"CHARLTON",527,"D",2,34,"D","ALEX MITCHELL","Charlton",2,123,0
"117","ALEX MURPHY",65,143195,"NEWCASTLE",1823,"D",2,13,"D","ALEX MURPHY","Bolton",2,124,0
"118","AXEL DISASI",49,106134,"CHELSEA",536,"D",2,27,"D","AXEL DISASI","Aston Villa",2,126,0
"119","BEN CABANGO",47,114570,"SWANSEA",2513,"D",2,47,"D","BEN CABANGO","Swansea",2,127,0
"120","BEN JACKSON",51,119541,"BARROW",392,"D",2,49,"D","BEN JACKSON","Barrow",2,128,0
"121","BRAD HALLIDAY",51,74244,"BRADFORD",234,"D",2,46,"D","BRAD HALLIDAY","Bradford",2,129,0
"122","BRENDAN WIREDU",61,118599,"PLYMOUTH",2036,"M",2,37,"D","BRENDAN WIREDU","Fleetwood",2,130,0
"123","BRYANT BILONGO",59,165968,"BRISTOL ROVERS",388,"D",2,32,"D","BRYANT BILONGO","Bristol Rovers",2,131,0
"124","CALLUM BRITTAIN",49,89702,"BLACKBURN",308,"D",2,35,"D","CALLUM BRITTAIN","Blackburn",2,132,0
"125","CALUM CHAMBERS",45,66152,"CARDIFF",485,"D",2,42,"D","CALUM CHAMBERS","Cardiff",2,133,0
"126","CALVIN BASSEY",43,107783,"FULHAM",1055,"D",2,37,"D","CALVIN BASSEY","Fulham",2,134,0
"127","CAMERON HUMPHREYS",40,86056,"PORT VALE",2083,"D",2,42,"D","CAMERON HUMPHREYS","Rotherham",2,135,0
"128","CAMERON HUMPHREYS",77,143953,"IPSWICH",1372,"M",7,47,"D","CAMERON HUMPHREYS","Rotherham",2,135,0
"129","CHRIS FORINO",51,144515,"BOLTON",354,"D",2,19,"D","CHRIS FORINO","Bolton",2,136,0
"130","CONNOR ROBERTS",57,86854,"BURNLEY",435,"D",2,42,"D","CONNOR ROBERTS","Burnley",2,137,0
"131","CONNOR TAYLOR",57,137154,"BRISTOL ROVERS",388,"D",2,45,"D","CONNOR TAYLOR","Bristol Rovers",2,138,0
"132","CONOR COADY",51,58424,"LEICESTER",1527,"D",2,26,"D","CONOR COADY","Leicester",2,139,0
"133","CURTIS NELSON",59,54429,"DERBY",747,"D",2,30,"D","CURTIS NELSON","Derby",2,140,0
"134","DAN BURN",63,52681,"NEWCASTLE",1823,"D",2,46,"D","DAN BURN","Newcastle",2,141,0
"135","DAN HAPPE",43,101508,"LEYTON ORIENT",1537,"D",2,28,"D","DAN HAPPE","Leyton Orient",2,142,0
"136","DEAN CAMPBELL",73,102741,"NORTHAMPTON",1867,"M",1,37,"D","DAN HAPPE","Leyton Orient",2,142,0.227920227920228
"137","DANNY BATTH",43,52337,"DERBY",747,"D",2,41,"D","DANNY BATTH","Blackburn",2,143,0
"138","DAVID OKAGBUE",57,165855,"WALSALL",2737,"D",2,51,"D","DAVID OKAGBUE","Walsall",2,144,0
"139","DJED SPENCE",59,108812,"TOTTENHAM",2590,"D",2,35,"D","DJED SPENCE","Tottenham",2,145,0
"140","DOMINIC HYAM",55,82426,"BLACKBURN",308,"D",2,49,"D","DOMINIC HYAM","Blackburn",2,146,0
"141","EMERSON",57,78116,"WEST HAM",2802,"D",2,32,"D","EMERSON","West Ham",2,147,0
"142","EOIN TOAL",49,105812,"BOLTON",354,"D",2,21,"D","EOIN TOAL","Bolton",2,148,0
"143","CHEMSDINE TALBI",97,175429,"SUNDERLAND",2493,"F",2,11,"D","EOIN TOAL","Bolton",2,148,0.251851851851852
"144","ETHAN PINNOCK",55,94145,"BRENTFORD",378,"D",2,23,"D","ETHAN PINNOCK","Brentford",2,149,0
"145","FERDI KADIOGLU",93,94149,"BRIGHTON",381,"M",3,11,"D","FERDI KADIOGLU","Brighton",2,150,0
"146","GEORGE COX",57,96795,"SWINDON",2519,"D",2,28,"D","GEORGE COX","Swindon",2,152,0
"147","GEORGE TANNER",57,123372,"BRISTOL CITY",376,"D",2,36,"D","GEORGE TANNER","Bristol City",2,153,0
"148","IAN MAATSEN",65,116348,"ASTON VILLA",154,"D",2,45,"D","IAN MAATSEN","Aston Villa",2,154,0
"149","IBRAHIMA KONATE",53,100656,"LIVERPOOL",1563,"D",2,42,"D","IBRAHIMA KONATÉ","Liverpool",2,155,0.0444444444444445
"150","JACK SHEPHERD",67,181640,"BARNSLEY",208,"D",2,42,"D","JACK SHEPHERD","Bradford",2,156,0
"151","JACK STACEY",53,76364,"NORWICH CITY",1855,"D",2,44,"D","JACK STACEY","Norwich",2,157,0
"152","JAKE O'BRIEN",43,117445,"EVERTON",942,"D",2,24,"D","JAKE O'BRIEN","Everton",2,159,0
"153","JAMES CARRAGHER",51,143699,"WIGAN",2783,"D",2,36,"D","JAMES CARRAGHER","Wigan",2,160,0
"154","JAMES CLARKE",53,48162,"NEWPORT COUNTY",1824,"D",2,25,"D","JAMES CLARKE","Newport",2,161,0
"155","JAMES WILSON",53,41453,"BRISTOL ROVERS",388,"D",2,48,"D","JAMES WILSON","Bristol Rovers",2,162,0
"156","JAMIE STERRY",47,82227,"DONCASTER",800,"D",2,46,"D","JAMIE STERRY","Doncaster",2,163,0
"157","JAN BEDNAREK",63,72632,"SOUTHAMPTON",2471,"D",2,34,"D","JAN BEDNAREK","Southampton",2,164,0
"158","JAPHET TANGANGA",47,107028,"MILLWALL",1699,"D",2,43,"D","JAPHET TANGANGA","Millwall",2,165,0
"159","JESSE DEBRAH",52,114047,"PORT VALE",2083,"D",2,37,"D","JESSE DEBRAH","Port Vale",2,166,0
"160","JOE RANKIN-COSTELLO",65,96141,"CHARLTON",527,"M",2,32,"D","JOE RANKIN-COSTELLO","Blackburn",2,167,0
"161","JOEL MCGREGOR",93,185990,"SWINDON",2519,"M",2,21,"D","JOEL MCGREGOR","Swindon",2,168,0
"162","JORDI OSEI-TUTU",45,108548,"BOLTON",354,"D",2,34,"D","JORDI OSEI-TUTU","Bolton",2,169,0
"163","JOSH EARL",59,103533,"BARNSLEY",208,"D",2,39,"D","JOSH EARL","Barnsley",2,170,0
"164","JOSH EDWARDS",53,107408,"CHARLTON",527,"D",1,44,"D","JOSH EDWARDS","Charlton",2,171,0
"165","JOSH TYMON",49,89955,"SWANSEA",2513,"D",2,48,"D","JOSH TYMON","Swansea",2,172,0
"166","JURRIEN TIMBER",51,121666,"ARSENAL",142,"D",2,48,"D","JURRIEN TIMBER","Arsenal",2,173,0
"167","KAINE KESLER-HAYDEN",45,138308,"COVENTRY",621,"D",2,51,"D","KAINE KESLER-HAYDEN","Preston",2,174,0
"168","KAMARL GRANT",55,166803,"MILLWALL",1699,"D",2,43,"D","KAMARL GRANT","Bromley",2,175,0
"169","KANE WILSON",45,92840,"DERBY",747,"D",2,35,"D","KANE WILSON","Derby",2,176,0
"170","KAYDEN HUGHES",59,196126,"FLEETWOOD",990,"D",2,11,"D","KAYDEN HUGHES","Fleetwood",2,177,0
"171","KEANE LEWIS-POTTER",105,118115,"BRENTFORD",378,"F",2,43,"D","KEANE LEWIS-POTTER","Brentford",2,178,0
"172","LEVI COLWILL",61,125467,"CHELSEA",536,"D",2,38,"D","LEVI COLWILL","Chelsea",2,179,0
"173","LEWIS GIBSON",55,107024,"PRESTON",2054,"D",2,42,"D","LEWIS GIBSON","Preston",2,180,0
"174","LISANDRO MARTINEZ",57,119327,"MANCHESTER UNITED",1724,"D",2,32,"D","LISANDRO MARTINEZ","Manchester United",2,181,0
"175","MAKSYM TALOVIEROV",45,121941,"STOKE",2477,"D",2,19,"D","MAKSYM TALOVEROV","Plymouth",2,182,0.0196078431372548
"176","MATT DOHERTY",47,58018,"WOLVES",2848,"D",2,35,"D","MATT DOHERTY","Wolves",2,183,0
"177","MATTHEW PENNINGTON",41,70729,"BRADFORD",234,"D",2,26,"D","MATTHEW PENNINGTON","Blackpool",2,184,0
