"num","pos","player.x","player.y","club","team","league","total","player_id","dist","check_needed"
96,"D","MAXENCE LACROIX","MAXENCE LACROIX","Crystal Palace","Chelsea","PL",3,122692,0,FALSE
97,"D","MICHAEL KEANE","MICHAEL KEANE","Everton","Everton","PL",3,62462,0,FALSE
98,"D","NAT PHILLIPS","MATT PHILLIPS","West Bromwich","Stevenage","L1",3,49017,0.0790598290598291,TRUE
99,"D","NIALL CANAVAN","NIALL ENNIS","Barrow","Blackpool","L1",3,105846,0.219114219114219,TRUE
100,"D","NORDI MUKIELE","NORDI MUKIELE","Sunderland","Sunderland","PL",3,95035,0,FALSE
101,"D","PAUDIE O'CONNOR","PAUDIE O'CONNOR","Reading","Reading","L1",3,107311,0,FALSE
102,"D","PHIL NEUMANN","PHIL NEUMANN","Birmingham","Birmingham","CH",3,95767,0,FALSE
103,"D","ROSS MCCRORIE","ROSS BARKLEY","Bristol City","Aston Villa","PL",3,56987,0.292735042735043,TRUE
104,"D","ROSS MCCRORIE","RIO CARDINES","Bristol City","Crystal Palace","PL",3,178122,0.292735042735043,TRUE
105,"D","RYAN LEONARD","RYAN LEONARD","Millwall","Millwall","CH",3,53497,0,FALSE
106,"D","RYAN SESSEGNON","RYAN SESSEGNON","Fulham","Fulham","PL",3,94024,0,FALSE
107,"D","SONDRE LANGAS","SONDRE LANGAS","Derby","Derby","CH",3,181025,0,FALSE
108,"D","SONNY BRADLEY","SONNY BRADLEY","Lincoln","Lincoln","CH",3,58162,0,FALSE
109,"D","STEPHEN MCLAUGHLIN","STEPHEN MCLAUGHLIN","Mansfield","Mansfield","L1",3,58545,0,FALSE
110,"D","THIERRY SMALL","THIERRY SMALL","Preston","Preston","CH",3,137557,0,FALSE
111,"D","TREVOH CHALOBAH","TREVOH CHALOBAH","Chelsea","Chelsea","PL",3,96784,0,FALSE
112,"D","TRISTAN CRAMA","TRISTAN CRAMA","Millwall","Millwall","CH",3,168588,0,FALSE
113,"D","TYRICK MITCHELL","TYRICK MITCHELL","Crystal Palace","Crystal Palace","PL",3,128033,0,FALSE
114,"D","ADAM MAYOR","ADAM MURPHY","Cambridge","Bristol City","CH",2,143162,0.199242424242424,TRUE
115,"D","ADEN BALDWIN","ADEN BALDWIN","Bradford","Bradford","L1",2,78008,0,FALSE
116,"D","ADEN FLINT","ADEN FLINT","Walsall","Walsall","L2",2,50198,0,FALSE
