"link","id","team_id","Team"
"LEWIS SIMPER",125727,483,NA
"MYLES COWLING",167878,483,NA
"KAI YEARN",136036,483,NA
"GLENN MCCONNELL",146002,483,NA
"GEORGE HODDLE",170213,483,NA
"GEORGE SCALES",170378,483,NA
"SULLAY KAIKAI",74807,483,NA
"FEJIRI OKENABIRHIE",75782,483,NA
"SAIKOU JANNEH",114852,483,NA
"GASSAN AHADME",125329,483,NA
"DAN BARTON",166010,483,NA
"GASSAN AHADME",125329,483,NA
"RYAN ALLSOP",51442,485,NA
"JAK ALNWICK",62082,485,NA
"ROHAN LUTHRA",159609,485,NA
"LEWYS BENJAMIN",172220,485,NA
"KIERON EVANS",133356,485,NA
"DIMITRIOS GOUTAS",67114,485,NA
"MAHLON ROMEO",69982,485,NA
"JOEL BAGAN",129175,485,NA
"MARK MCGUINNESS",126311,485,NA
"JAMILU COLLINS",89267,485,NA
"VONTAE DALEY-CAMPBELL",122515,485,NA
"JACK SIMPSON",89954,485,NA
"JAI SEMENYO",155863,485,NA
"PERRY NG",76805,485,NA
"RYAN WINTLE",86841,485,NA
"JOE RALLS",61254,485,NA
"AARON RAMSEY",46488,485,NA
"CALLUM O'DOWDA",68841,485,NA
"EBOU ADAMS",76835,485,NA
"ROMAINE SAWYERS",51498,485,NA
"ELI KING",145414,485,NA
"RUBIN COLWILL",137673,485,NA
"JOEL COLWILL",165871,485,NA
"ANDY RINOMHOTA",96390,485,NA
"CALEB HUGHES",156501,485,NA
"KARLAN GRANT",78150,485,NA
"YAKOU MEITE",85331,485,NA
"OLLIE TANNER",124880,485,NA
"IKE UGBO",96786,485,NA
"CHANKA ZIMBA",137012,485,NA
"KION ETETE",116571,485,NA
"SHEYI OJO",80195,485,NA
"ISAAK DAVIES",137608,485,NA
"MORGAN WIGLEY",171868,485,NA
"JAMES CROLE",171869,485,NA
"CALLUM ROBINSON",72637,485,NA
"KARLAN GRANT",78150,485,NA
"MAX WATTERS",114055,485,NA
"MICHAEL ROXBURGH",143857,1309,NA
"CHRIS MAXWELL",51366,1309,NA
"JACOB CHAPMAN",129108,1309,NA
"LEE NICHOLLS",53114,1309,NA
"LOICK AYINA",137287,1309,NA
"MUSTAPHA OLAGUNJU",132891,1309,NA
"OLLIE TURTON",54530,1309,NA
"MATTHEW PEARSON",63549,1309,NA
"RARMANI EDMONDS-GREEN",113805,1309,NA
"BEN JACKSON",119541,1309,NA
"TOM LEES",52174,1309,NA
"YUTA NAKAYAMA",118271,1309,NA
"BRODIE SPENCER",161296,1309,NA
"MICHAL HELIK",72505,1309,NA
"CHARLES ONDO",167618,1309,NA
"JAHEIM HEADLEY",125347,1309,NA
"JOSH AUSTERFIELD",127043,1309,NA
"ANTHONY KNOCKAERT",66497,1309,NA
"ERNALDO KRASNIQI",144041,1309,NA
"AARON ROWE",119176,1309,NA
"SAMUEL SHARROCK-PEPLOW",114505,1309,NA
"JONATHAN HOGG",52899,1309,NA
"SORBA THOMAS",99660,1309,NA
"CONNOR MAHONEY",72094,1309,NA
"SCOTT HIGH",126385,1309,NA
"DAVID KASUMU",91152,1309,NA
"JACK RUDONI",119270,1309,NA
"KIT ELLIOT",119545,1309,NA
"KYLE HUDLIN",135218,1309,NA
"JORDAN RHODES",46684,1309,NA
"JOSH KOROMA",90720,1309,NA
"DANNY WARD",52017,1309,NA
"PATRICK JONES",137084,1309,NA
"DANIEL GRANT",111922,1309,NA
"BRAHIMA DIARRA",136652,1309,NA
"KIAN HARRATT",126250,1309,NA
"KIT ELLIOTT",137290,1309,NA
"TYREECE SIMPSON",125088,1309,NA
"STEFAN ORTEGA MORENO",82954,1718,NA
"ZACK STEFFEN",92669,1718,NA
"EDERSON MORAES",66557,1718,NA
"SCOTT CARSON",35776,1718,NA
"RICO LEWIS",144394,1718,NA
"LUKE MBETE",133491,1718,NA
"YAN COUTO",134226,1718,NA
"KYLE WALKER",50562,1718,NA
"RUBEN DIAS",90383,1718,NA
"JOHN STONES",59460,1718,NA
"NATHAN AKE",68645,1718,NA
"JOAO CANCELO",69841,1718,NA
"AYMERIC LAPORTE",68462,1718,NA
"MANUEL AKANJI",85662,1718,NA
"TAYLOR HARWOOD-BELLIS",116341,1718,NA
"OSCAR BOBB",133493,1718,NA
"BEN KNIGHT",116340,1718,NA
"JAMES MCATEE",126212,1718,NA
"ALEX ROBERTSON",136750,1718,NA
"KALVIN PHILLIPS",80307,1718,NA
"MATEO KOVACIC",58067,1718,NA
"JACK GREALISH",64748,1718,NA
"RODRI",89571,1718,NA
"KEVIN DE BRUYNE",55734,1718,NA
"SERGIO GOMEZ",109192,1718,NA
"MAXIMO PERRONE",153585,1718,NA
"PHIL FODEN",99916,1718,NA
"TOMMY DOYLE",118183,1718,NA
"COLE PALMER",125454,1718,NA
"CLAUDIO GOMES",113879,1718,NA
"ERLING HAALAND",101493,1718,NA
"JULIAN ALVAREZ",117782,1718,NA
"BERNARDO SILVA",75983,1718,NA
"RIYAD MAHREZ",74357,1718,NA
"CALLUM DOYLE",136373,1718,NA
"JOSH WILSON-ESBRAND",133495,1718,NA
"NATHAN BISHOP",101644,1724,NA
"ELYH HARRISON",165975,1724,NA
"DERMOT MEE",144390,1724,NA
"RADEK VITEK",144395,1724,NA
